Card Name,Win Percentage,Win Percentage Diff,Games Played
Relic of Legends,62.50%,+38.42%,16
Defabricate,62.50%,+38.42%,16
Carpet of Flowers,50.00%,+25.92%,26
Imposter Mech,47.37%,+23.29%,19
"Urza, Lord High Artificer",46.15%,+22.08%,13
Spell Pierce,41.18%,+17.10%,17
Whir of Invention,39.39%,+15.32%,33
Stonework Packbeast,36.36%,+12.29%,33
Inventors' Fair,35.90%,+11.82%,39
Jeweled Lotus,34.88%,+10.81%,43
Spellseeker,33.33%,+9.26%,54
"Llawan, Cephalid Empress",33.33%,+9.26%,15
Miscast,32.65%,+8.57%,49
Reshape,32.00%,+7.92%,100
Terastodon,30.77%,+6.69%,26
Rapid Hybridization,30.36%,+6.28%,56
Plaza of Heroes,30.00%,+5.92%,10
"Yavimaya, Cradle of Growth",29.48%,+5.40%,173
Moonsnare Prototype,28.83%,+4.75%,111
Faerie Mastermind,27.96%,+3.88%,93
Walking Ballista,27.78%,+3.70%,72
Voltaic Key,27.27%,+3.19%,11
Crop Rotation,27.06%,+2.98%,303
"Karn, the Great Creator",27.03%,+2.95%,148
Polluted Delta,26.79%,+2.71%,321
Soulless Jailer,26.67%,+2.59%,15
Resculpt,26.55%,+2.47%,290
Elvish Spirit Guide,26.46%,+2.38%,257
Fabricate,26.42%,+2.34%,265
Colossal Skyturtle,26.32%,+2.24%,171
Delighted Halfling,26.28%,+2.20%,156
Nature's Claim,26.19%,+2.11%,42
Snow-Covered Forest,26.13%,+2.05%,111
Trophy Mage,26.01%,+1.94%,296
Glen Elendra Archmage,25.97%,+1.89%,258
Transmute Artifact,25.86%,+1.78%,290
Endurance,25.42%,+1.35%,354
Agatha's Soul Cauldron,25.27%,+1.20%,91
Tezzeret the Seeker,25.27%,+1.19%,368
"Minamo, School at Water's Edge",25.27%,+1.19%,277
Sensei's Divining Top,25.00%,+0.92%,16
Ponder,25.00%,+0.92%,20
Machine God's Effigy,25.00%,+0.92%,28
Phyrexian Metamorph,24.94%,+0.86%,393
Mirage Mirror,24.72%,+0.64%,356
Armored Scrapgorger,24.69%,+0.61%,239
Treasure Vault,24.67%,+0.59%,377
Thassa's Oracle,24.66%,+0.58%,73
Mana Confluence,24.65%,+0.57%,357
Dispel,24.62%,+0.54%,130
The One Ring,24.61%,+0.53%,382
Gilded Drake,24.59%,+0.52%,370
Sylvan Library,24.59%,+0.51%,183
Moonsilver Key,24.54%,+0.46%,383
Scalding Tarn,24.52%,+0.44%,363
Mana Drain,24.32%,+0.25%,370
Phantasmal Image,24.30%,+0.22%,391
Springleaf Drum,24.29%,+0.21%,387
Emergence Zone,24.26%,+0.18%,235
City of Brass,24.18%,+0.10%,397
Snow-Covered Island,24.16%,+0.08%,149
Chord of Calling,24.15%,+0.08%,207
Wooded Foothills,24.15%,+0.07%,294
Fellwar Stone,24.13%,+0.05%,402
Ancient Tomb,24.07%,-0.00%,378
Mox Diamond,24.03%,-0.05%,412
Cephalid Coliseum,24.00%,-0.08%,125
Rejuvenating Springs,23.98%,-0.10%,417
Talisman of Curiosity,23.98%,-0.10%,417
Mystical Tutor,23.95%,-0.13%,380
Cyclonic Rift,23.93%,-0.14%,422
Mana Vault,23.93%,-0.14%,422
Mental Misstep,23.91%,-0.17%,414
Flooded Strand,23.91%,-0.17%,343
Simic Signet,23.91%,-0.17%,343
"Nezahal, Primal Tide",23.82%,-0.26%,361
"Jin-Gitaxias, Core Augur",23.81%,-0.27%,42
Command Beacon,23.81%,-0.27%,21
Green Sun's Zenith,23.78%,-0.30%,307
Finale of Devastation,23.73%,-0.35%,413
Force of Vigor,23.72%,-0.36%,274
Seedborn Muse,23.71%,-0.37%,426
Consecrated Sphinx,23.71%,-0.37%,426
"Boseiju, Who Endures",23.68%,-0.39%,418
Shared Summons,23.68%,-0.39%,38
Waterlogged Grove,23.66%,-0.41%,393
Mox Amber,23.64%,-0.44%,423
Lotus Petal,23.63%,-0.45%,419
Chrome Mox,23.63%,-0.45%,419
Mana Crypt,23.60%,-0.48%,428
Sol Ring,23.60%,-0.48%,428
Rhystic Study,23.60%,-0.48%,428
Birds of Paradise,23.60%,-0.48%,428
Tropical Island,23.60%,-0.48%,428
Basalt Monolith,23.60%,-0.48%,428
"Thrasios, Triton Hero",23.60%,-0.48%,428
Gemstone Caverns,23.60%,-0.48%,428
Misty Rainforest,23.60%,-0.48%,428
Hullbreaker Horror,23.60%,-0.48%,428
Breeding Pool,23.60%,-0.48%,428
Mystic Remora,23.60%,-0.48%,428
Arcane Signet,23.60%,-0.48%,428
Worldly Tutor,23.60%,-0.48%,428
Fierce Guardianship,23.58%,-0.49%,424
Force of Will,23.58%,-0.49%,424
Swan Song,23.58%,-0.49%,424
Pact of Negation,23.58%,-0.49%,424
Mox Opal,23.53%,-0.55%,408
Thorn Mammoth,23.50%,-0.58%,217
Flusterstorm,23.50%,-0.58%,417
Tidespout Tyrant,23.48%,-0.60%,345
An Offer You Can't Refuse,23.35%,-0.73%,364
Homeward Path,23.32%,-0.76%,283
Force of Negation,23.30%,-0.78%,412
Spellskite,23.29%,-0.79%,292
Perplexing Chimera,23.29%,-0.79%,292
Intuition,23.08%,-1.00%,13
Command Tower,23.00%,-1.08%,413
Mindbreak Trap,22.93%,-1.15%,362
Gaea's Cradle,22.90%,-1.18%,345
"Otawara, Soaring City",22.76%,-1.32%,413
Elvish Mystic,22.74%,-1.34%,365
Copy Artifact,22.71%,-1.37%,229
Fyndhorn Elves,22.66%,-1.42%,384
Llanowar Elves,22.63%,-1.45%,380
March of Swirling Mist,22.63%,-1.45%,327
Grim Monolith,22.60%,-1.48%,354
Yavimaya Coast,22.56%,-1.51%,390
Void Winnower,22.47%,-1.61%,365
Verdant Catacombs,22.42%,-1.66%,281
Island,22.38%,-1.69%,344
Manglehorn,22.38%,-1.70%,362
Nyxbloom Ancient,22.28%,-1.80%,386
Forest,22.16%,-1.92%,361
Windswept Heath,22.02%,-2.06%,218
Bloom Tender,21.85%,-2.23%,389
Veil of Summer,21.78%,-2.30%,225
Seat of the Synod,21.62%,-2.46%,37
Tree of Tales,21.62%,-2.46%,37
Brainstorm,21.43%,-2.65%,112
Paradise Mantle,21.43%,-2.65%,14
Drown in Dreams,21.43%,-2.65%,14
Allosaurus Shepherd,21.21%,-2.87%,33
Devoted Druid,21.21%,-2.87%,33
Noxious Revival,21.08%,-2.99%,166
Botanical Sanctum,21.05%,-3.03%,19
Forbidden Orchard,20.83%,-3.24%,24
Chain of Vapor,20.75%,-3.32%,159
Gitaxian Probe,20.69%,-3.39%,87
Urza's Saga,20.65%,-3.43%,92
"Koma, Cosmos Serpent",20.31%,-3.77%,192
Delay,20.00%,-4.08%,75
Alchemist's Retrieval,20.00%,-4.08%,20
Neoform,20.00%,-4.08%,25
Ertai's Meddling,20.00%,-4.08%,10
Clever Impersonator,20.00%,-4.08%,20
Spell Snare,20.00%,-4.08%,10
Torpor Orb,20.00%,-4.08%,10
Reconstruction,20.00%,-4.08%,10
Trickbind,20.00%,-4.08%,10
Reality Shift,20.00%,-4.08%,10
Last March of the Ents,20.00%,-4.08%,10
Muddle the Mixture,19.72%,-4.36%,71
Pongify,19.70%,-4.38%,198
"Jin-Gitaxias, Progress Tyrant",19.53%,-4.55%,128
Tarnished Citadel,19.51%,-4.57%,41
Freed from the Real,19.35%,-4.72%,62
Prophet of Distortion,19.15%,-4.93%,47
Summoner's Pact,18.94%,-5.14%,132
Prismatic Vista,18.84%,-5.24%,69
Exotic Orchard,18.75%,-5.33%,96
Energy Refractor,18.60%,-5.47%,43
Cavern of Souls,18.18%,-5.90%,33
Lurking Predators,18.18%,-5.90%,11
Timetwister,18.18%,-5.90%,11
Pemmin's Aura,17.78%,-6.30%,45
Staff of Domination,17.65%,-6.43%,17
Solve the Equation,17.39%,-6.69%,23
Borne Upon a Wind,17.39%,-6.69%,23
