Card Name,Win Percentage,Win Percentage Diff,Games Played
Spirebluff Canal,33.33%,+11.49%,15
Cephalid Coliseum,28.00%,+6.16%,25
Gut Shot,27.59%,+5.75%,29
Intuition,27.27%,+5.43%,11
Cursed Totem,27.27%,+5.43%,11
Rivendell,26.67%,+4.83%,15
Peek,25.00%,+3.16%,32
Brightstone Ritual,23.73%,+1.89%,59
Mox Opal,23.53%,+1.69%,17
Relic of Legends,23.53%,+1.69%,34
Talisman of Creativity,23.33%,+1.49%,30
Cascade Bluffs,23.08%,+1.24%,13
Ponder,22.81%,+0.97%,57
Consider,22.45%,+0.61%,49
Light Up the Stage,22.22%,+0.38%,27
Springleaf Drum,22.22%,+0.38%,54
Rending Volley,22.22%,+0.38%,18
Blasphemous Act,22.22%,+0.38%,27
Misty Rainforest,22.06%,+0.22%,68
"Ragavan, Nimble Pilferer",21.95%,+0.11%,41
Submerge,21.95%,+0.11%,41
Faerie Mastermind,21.43%,-0.41%,28
The One Ring,21.43%,-0.41%,28
Mana Confluence,21.25%,-0.59%,80
Archmage Emeritus,21.21%,-0.63%,66
Brain Freeze,21.15%,-0.69%,52
Arid Mesa,21.15%,-0.69%,52
Pyroblast,21.13%,-0.71%,71
Phyrexian Metamorph,21.05%,-0.79%,76
Force of Will,21.05%,-0.79%,76
Muddle the Mixture,21.05%,-0.79%,38
Force of Negation,20.83%,-1.01%,24
Deflecting Swat,20.78%,-1.06%,77
Lightning Bolt,20.78%,-1.06%,77
Mental Misstep,20.78%,-1.06%,77
Ancient Tomb,20.78%,-1.06%,77
Stern Dismissal,20.75%,-1.08%,53
Merchant Scroll,20.59%,-1.25%,34
Imperial Recruiter,20.55%,-1.29%,73
Desperate Ritual,20.51%,-1.33%,78
Mindbreak Trap,20.51%,-1.33%,78
Mogg Salvage,20.51%,-1.33%,78
Impulse,20.51%,-1.33%,78
Lotus Petal,20.48%,-1.36%,83
Mana Crypt,20.48%,-1.36%,83
Dockside Extortionist,20.48%,-1.36%,83
Chrome Mox,20.48%,-1.36%,83
Steam Vents,20.48%,-1.36%,83
Rite of Flame,20.48%,-1.36%,83
Mana Vault,20.48%,-1.36%,83
Flusterstorm,20.48%,-1.36%,83
Fierce Guardianship,20.48%,-1.36%,83
Gitaxian Probe,20.48%,-1.36%,83
Rhystic Study,20.48%,-1.36%,83
Underworld Breach,20.48%,-1.36%,83
Gemstone Caverns,20.48%,-1.36%,83
Swan Song,20.48%,-1.36%,83
City of Brass,20.48%,-1.36%,83
Pact of Negation,20.48%,-1.36%,83
Storm-Kiln Artist,20.48%,-1.36%,83
"Veyran, Voice of Duality",20.48%,-1.36%,83
Scalding Tarn,20.48%,-1.36%,83
Mountain,20.48%,-1.36%,83
Harmonic Prodigy,20.48%,-1.36%,83
Strike It Rich,20.48%,-1.36%,83
Tavern Scoundrel,20.48%,-1.36%,83
"Otawara, Soaring City",20.48%,-1.36%,83
An Offer You Can't Refuse,20.48%,-1.36%,83
Jeska's Will,20.48%,-1.36%,83
Command Tower,20.48%,-1.36%,83
Island,20.48%,-1.36%,83
Mystic Remora,20.48%,-1.36%,83
Snap,20.48%,-1.36%,83
Frantic Search,20.48%,-1.36%,83
Mystical Tutor,20.48%,-1.36%,83
Jeweled Lotus,20.48%,-1.36%,83
Sol Ring,20.48%,-1.36%,83
Wooded Foothills,20.45%,-1.38%,44
Arcane Signet,20.31%,-1.53%,64
Spellseeker,20.25%,-1.59%,79
Mana Drain,20.00%,-1.84%,20
End the Festivities,20.00%,-1.84%,50
Solve the Equation,20.00%,-1.84%,70
Lion's Eye Diamond,20.00%,-1.84%,30
Phantasmal Image,19.72%,-2.12%,71
Gamble,19.72%,-2.12%,71
Prismatic Vista,19.51%,-2.33%,41
Forbidden Orchard,19.44%,-2.39%,36
Shivan Reef,19.44%,-2.39%,72
Training Center,19.44%,-2.39%,72
Mox Diamond,19.40%,-2.44%,67
Pyretic Ritual,19.30%,-2.54%,57
Mind's Desire,19.30%,-2.54%,57
Fiery Islet,19.18%,-2.66%,73
Mox Amber,19.12%,-2.72%,68
Twinflame,18.99%,-2.85%,79
Dualcaster Mage,18.99%,-2.85%,79
Overmaster,18.99%,-2.85%,79
Brainstorm,18.84%,-3.00%,69
Cyclonic Rift,18.67%,-3.17%,75
Heat Shimmer,18.67%,-3.17%,75
Polluted Delta,18.33%,-3.51%,60
Krark's Thumb,18.33%,-3.51%,60
Grapeshot,18.31%,-3.53%,71
City of Traitors,18.18%,-3.66%,33
Dragon's Rage Channeler,18.18%,-3.66%,11
Step Through,18.03%,-3.81%,61
Finale of Promise,18.00%,-3.84%,50
Bloodstained Mire,17.50%,-4.34%,40
Red Elemental Blast,17.50%,-4.34%,40
Volcanic Island,17.46%,-4.38%,63
Simian Spirit Guide,17.31%,-4.53%,52
Void Snare,16.95%,-4.89%,59
Chain of Vapor,16.67%,-5.17%,12
Veilstone Amulet,16.67%,-5.17%,18
Treasonous Ogre,16.67%,-5.17%,36
Flooded Strand,15.79%,-6.05%,57
Ledger Shredder,10.00%,-11.84%,10
"Oboro, Palace in the Clouds",9.52%,-12.32%,21
