Card Name,Win Percentage,Win Percentage Diff,Games Played
Carpet of Flowers,33.33%,+10.41%,12
Shivan Reef,33.33%,+10.41%,12
Talisman of Curiosity,32.00%,+9.08%,25
Phyrexian Metamorph,31.82%,+8.90%,22
Last Chance,30.00%,+7.08%,10
Training Center,29.41%,+6.49%,17
Warrior's Oath,29.41%,+6.49%,34
Borne Upon a Wind,29.33%,+6.41%,75
City of Traitors,28.70%,+5.77%,115
Chance for Glory,28.40%,+5.47%,81
Spellskite,28.26%,+5.34%,46
Stern Scolding,28.21%,+5.28%,39
Talisman of Dominance,27.05%,+4.13%,122
Culling the Weak,26.89%,+3.97%,264
Mox Opal,26.52%,+3.60%,279
Summoner's Pact,26.47%,+3.55%,306
Manamorphose,26.32%,+3.39%,19
Mnemonic Betrayal,25.95%,+3.03%,343
Fellwar Stone,25.60%,+2.68%,293
Opposition Agent,25.48%,+2.56%,259
Red Elemental Blast,25.44%,+2.51%,287
Mana Vault,25.30%,+2.38%,332
Culling Ritual,25.07%,+2.15%,379
Noxious Revival,25.00%,+2.08%,24
Swords to Plowshares,24.92%,+2.00%,301
Final Fortune,24.76%,+1.84%,416
Arcane Signet,24.70%,+1.78%,332
Flowering of the White Tree,24.64%,+1.72%,69
Wishclaw Talisman,24.61%,+1.69%,382
Exotic Orchard,24.59%,+1.67%,423
Mystical Tutor,24.57%,+1.65%,407
Delighted Halfling,24.56%,+1.64%,57
Snap,24.55%,+1.63%,387
Lion's Eye Diamond,24.37%,+1.45%,435
Cabal Ritual,24.32%,+1.40%,37
Dauthi Voidwalker,24.24%,+1.32%,33
Intuition,24.23%,+1.31%,421
Gamble,24.19%,+1.27%,430
"Samut, Vizier of Naktamun",24.19%,+1.27%,430
Ancient Tomb,24.16%,+1.23%,385
Ranger-Captain of Eos,24.15%,+1.23%,443
Brain Freeze,24.15%,+1.22%,439
Underworld Breach,24.15%,+1.22%,439
Godless Shrine,24.14%,+1.22%,29
Chain of Vapor,24.11%,+1.19%,112
Dark Ritual,24.10%,+1.18%,332
Diabolic Intent,24.09%,+1.17%,411
Professional Face-Breaker,24.05%,+1.13%,79
Gemstone Caverns,24.04%,+1.12%,441
Bloodstained Mire,24.03%,+1.11%,437
Eldritch Evolution,24.00%,+1.08%,450
Fire Covenant,23.96%,+1.04%,96
Eladamri's Call,23.91%,+0.99%,435
Sevinne's Reclamation,23.91%,+0.99%,435
Pact of Negation,23.88%,+0.96%,448
Mindbreak Trap,23.87%,+0.95%,419
Grim Hireling,23.86%,+0.94%,394
Tinder Wall,23.84%,+0.92%,411
Wooded Foothills,23.84%,+0.92%,453
Tarnished Citadel,23.84%,+0.92%,323
Elvish Spirit Guide,23.77%,+0.85%,446
Phantasmal Image,23.76%,+0.84%,202
Volcanic Island,23.76%,+0.83%,442
Grand Abolisher,23.76%,+0.83%,442
Marsh Flats,23.75%,+0.83%,459
Tropical Island,23.74%,+0.82%,438
Plateau,23.71%,+0.79%,350
Birds of Paradise,23.71%,+0.79%,447
Tainted Pact,23.70%,+0.77%,460
Ad Nauseam,23.68%,+0.76%,397
Chrome Mox,23.63%,+0.71%,457
Simian Spirit Guide,23.61%,+0.69%,449
Badlands,23.60%,+0.67%,445
Deflecting Swat,23.59%,+0.67%,462
Polluted Delta,23.58%,+0.66%,441
Windswept Heath,23.56%,+0.63%,450
Tundra,23.54%,+0.62%,446
Worldly Tutor,23.54%,+0.62%,446
Taiga,23.54%,+0.62%,463
Scalding Tarn,23.54%,+0.62%,463
Mana Confluence,23.54%,+0.62%,463
Jeweled Lotus,23.54%,+0.62%,463
Talisman of Progress,23.53%,+0.61%,34
Gemstone Mine,23.53%,+0.61%,17
"Ragavan, Nimble Pilferer",23.47%,+0.55%,426
Enlightened Tutor,23.44%,+0.52%,448
Bayou,23.44%,+0.52%,448
Swan Song,23.39%,+0.46%,449
Ignoble Hierarch,23.35%,+0.43%,394
Flooded Strand,23.34%,+0.42%,437
Fierce Guardianship,23.34%,+0.42%,467
Silence,23.34%,+0.42%,467
Lotus Petal,23.34%,+0.42%,467
Mana Crypt,23.34%,+0.42%,467
Rhystic Study,23.34%,+0.42%,467
Flusterstorm,23.34%,+0.42%,467
Misty Rainforest,23.34%,+0.42%,467
"Derevi, Empyrial Tactician",23.34%,+0.42%,467
Demonic Tutor,23.34%,+0.42%,467
Esper Sentinel,23.34%,+0.42%,467
Command Tower,23.34%,+0.42%,467
Mystic Remora,23.34%,+0.42%,467
Dockside Extortionist,23.34%,+0.42%,467
City of Brass,23.34%,+0.42%,467
Sol Ring,23.34%,+0.42%,467
Mental Misstep,23.34%,+0.42%,467
Vampiric Tutor,23.34%,+0.42%,467
Thassa's Oracle,23.34%,+0.42%,467
Scrubland,23.27%,+0.35%,434
Underground Sea,23.23%,+0.31%,439
Demonic Consultation,23.21%,+0.29%,461
Arid Mesa,23.19%,+0.27%,457
Noble Hierarch,23.18%,+0.26%,371
Verdant Catacombs,23.08%,+0.16%,442
Soul Partition,23.08%,+0.16%,117
"Lotho, Corrupt Shirriff",23.08%,+0.16%,377
Finale of Devastation,23.08%,+0.16%,13
Mox Diamond,23.04%,+0.12%,434
Rite of Flame,23.03%,+0.11%,343
Savannah,22.88%,-0.04%,354
Necropotence,22.86%,-0.06%,35
Force of Will,22.82%,-0.10%,447
Veil of Summer,22.78%,-0.14%,360
Cyclonic Rift,22.71%,-0.21%,273
"Boseiju, Who Endures",22.67%,-0.25%,397
Forbidden Orchard,22.63%,-0.29%,137
The One Ring,22.63%,-0.29%,274
Imperial Seal,22.60%,-0.32%,292
Temple Garden,21.74%,-1.18%,23
Dress Down,21.74%,-1.18%,23
Gitaxian Probe,21.51%,-1.42%,93
Concerted Defense,21.43%,-1.49%,14
"Chatterfang, Squirrel General",21.05%,-1.87%,19
Hallowed Fountain,21.05%,-1.87%,19
Overgrown Tomb,21.05%,-1.87%,19
Stomping Ground,21.05%,-1.87%,19
Drannith Magistrate,20.94%,-1.98%,277
Gaea's Cradle,20.69%,-2.23%,29
Elves of Deep Shadow,20.59%,-2.33%,34
Deadly Rollick,20.39%,-2.53%,152
An Offer You Can't Refuse,20.18%,-2.75%,228
Sakashima the Impostor,20.00%,-2.92%,10
"Winota, Joiner of Forces",20.00%,-2.92%,10
"Toski, Bearer of Secrets",20.00%,-2.92%,15
Bloom Tender,20.00%,-2.92%,35
Watery Grave,20.00%,-2.92%,40
Mana Drain,20.00%,-2.92%,20
Agatha's Soul Cauldron,20.00%,-2.92%,15
Deathrite Shaman,19.87%,-3.05%,151
March of Swirling Mist,19.87%,-3.05%,151
Neoform,19.71%,-3.21%,208
Mox Amber,19.40%,-3.52%,67
Gilded Drake,19.32%,-3.60%,88
Blood Crypt,19.23%,-3.69%,26
Smothering Tithe,19.05%,-3.87%,21
Thran Quarry,18.75%,-4.17%,96
Wheel of Fortune,18.75%,-4.17%,16
Damn,18.75%,-4.17%,16
Archivist of Oghma,18.49%,-4.43%,119
Dispel,18.46%,-4.46%,65
"Otawara, Soaring City",18.46%,-4.46%,65
Orcish Bowmasters,18.30%,-4.62%,235
"Oko, Thief of Crowns",18.18%,-4.74%,11
Necromancy,18.18%,-4.74%,11
Colossal Skyturtle,18.18%,-4.74%,11
Utopia Sprawl,17.39%,-5.53%,23
Wild Growth,17.39%,-5.53%,23
Druids' Repository,17.11%,-5.82%,76
Force of Negation,16.67%,-6.25%,102
Sacred Foundry,16.67%,-6.25%,24
Lotus Cobra,16.67%,-6.25%,12
"Boromir, Warden of the Tower",16.67%,-6.25%,12
Eagles of the North,16.67%,-6.25%,12
Sylvan Library,16.00%,-6.92%,25
Steam Vents,15.62%,-7.30%,32
Beseech the Mirror,15.56%,-7.37%,45
Faerie Mastermind,15.38%,-7.54%,26
Miscast,15.22%,-7.70%,46
"Jetmir, Nexus of Revels",15.15%,-7.77%,33
Pyroblast,15.00%,-7.92%,20
Ledger Shredder,15.00%,-7.92%,20
Nature's Will,14.29%,-8.64%,14
Breeding Pool,13.64%,-9.28%,44
"Gix, Yawgmoth Praetor",13.33%,-9.59%,15
Angel's Grace,13.33%,-9.59%,15
Mindblade Render,12.90%,-10.02%,31
Abrupt Decay,12.79%,-10.13%,86
Talisman of Indulgence,12.50%,-10.42%,24
Cavern of Souls,11.11%,-11.81%,18
Avacyn's Pilgrim,10.71%,-12.21%,56
Throne of the God-Pharaoh,10.53%,-12.39%,19
Reflecting Pool,10.00%,-12.92%,10
Spell Pierce,9.09%,-13.83%,22
Delayed Blast Fireball,9.09%,-13.83%,11
Spire of Industry,9.09%,-13.83%,11
Assassin's Trophy,9.09%,-13.83%,22
Path to Exile,7.14%,-15.78%,14
"Edric, Spymaster of Trest",6.67%,-16.25%,15
