Card Name,Win Percentage,Win Percentage Diff,Games Played
"Yavimaya, Cradle of Growth",41.18%,+16.80%,17
"Nissa, Resurgent Animist",38.10%,+13.72%,21
"Llawan, Cephalid Empress",35.71%,+11.34%,14
Archon of Emeria,33.33%,+8.96%,15
"Niambi, Esteemed Speaker",32.26%,+7.89%,62
"Talion, the Kindly Lord",32.14%,+7.77%,28
Red Elemental Blast,31.82%,+7.45%,22
Oath of Nissa,31.58%,+7.21%,57
Blind Obedience,31.03%,+6.66%,58
Breeding Pool,30.77%,+6.40%,13
Hallowed Fountain,30.77%,+6.40%,13
"Kiora, Behemoth Beckoner",30.77%,+6.40%,39
Phyrexian Metamorph,30.51%,+6.14%,59
"Katilda, Dawnhart Prime",28.81%,+4.44%,59
Sevinne's Reclamation,28.57%,+4.20%,14
Intuition,28.57%,+4.20%,14
Abrade,28.57%,+4.20%,84
"Karn, the Great Creator",28.57%,+4.20%,14
Chord of Calling,27.91%,+3.53%,129
"Boromir, Warden of the Tower",27.27%,+2.90%,11
Arid Mesa,27.17%,+2.80%,184
Dovin's Veto,27.08%,+2.71%,48
Assassin's Trophy,27.06%,+2.69%,85
Mox Opal,26.92%,+2.55%,26
"Oko, Thief of Crowns",26.40%,+2.03%,125
Brain Freeze,26.32%,+1.94%,19
Dismember,26.32%,+1.94%,95
Lion's Eye Diamond,26.32%,+1.94%,19
Underworld Breach,26.32%,+1.94%,19
Smothering Tithe,26.32%,+1.94%,57
"Chainer, Nightmare Adept",26.32%,+1.94%,38
Opposition Agent,26.19%,+1.82%,84
Ertai Resurrected,26.09%,+1.71%,115
Badlands,26.04%,+1.67%,96
Mana Vault,26.04%,+1.67%,96
Gilded Drake,25.93%,+1.55%,27
Soul Partition,25.93%,+1.55%,27
Wishclaw Talisman,25.90%,+1.53%,166
Drannith Magistrate,25.89%,+1.52%,197
Noxious Revival,25.86%,+1.49%,58
Ancient Tomb,25.78%,+1.41%,128
Oath of Teferi,25.76%,+1.38%,198
"Nicol Bolas, Dragon-God",25.76%,+1.38%,198
Tarnished Citadel,25.71%,+1.34%,105
Mox Amber,25.69%,+1.32%,218
Saheeli Rai,25.68%,+1.30%,222
Sakashima the Impostor,25.65%,+1.28%,191
Agatha's Soul Cauldron,25.40%,+1.02%,63
Touch the Spirit Realm,25.26%,+0.89%,95
"Ragavan, Nimble Pilferer",25.22%,+0.84%,230
Relic of Legends,25.12%,+0.75%,203
Displacer Kitten,25.00%,+0.63%,20
Mount Doom,25.00%,+0.63%,208
"Samut, Voice of Dissent",25.00%,+0.63%,12
Culling Ritual,25.00%,+0.63%,12
Path to Exile,25.00%,+0.63%,12
Faeburrow Elder,24.79%,+0.42%,242
"Lavinia, Azorius Renegade",24.79%,+0.42%,238
"Selvala, Heart of the Wilds",24.78%,+0.41%,226
Mental Misstep,24.68%,+0.31%,235
Lurrus of the Dream-Den,24.68%,+0.30%,77
"Aminatou, the Fateshifter",24.66%,+0.29%,223
Scalding Tarn,24.60%,+0.22%,248
Polluted Delta,24.49%,+0.12%,245
Wooded Foothills,24.49%,+0.12%,245
Marsh Flats,24.49%,+0.12%,245
Esper Sentinel,24.49%,+0.12%,245
Lotus Petal,24.48%,+0.11%,241
Force of Will,24.46%,+0.09%,233
Abrupt Decay,24.45%,+0.08%,229
Bloom Tender,24.40%,+0.03%,250
Plateau,24.39%,+0.02%,205
"Derevi, Empyrial Tactician",24.31%,-0.06%,255
Mana Crypt,24.29%,-0.08%,247
Gaea's Cradle,24.24%,-0.13%,231
Scrubland,24.22%,-0.16%,223
"Kinnan, Bonder Prodigy",24.21%,-0.17%,252
Windswept Heath,24.21%,-0.17%,252
"Lotho, Corrupt Shirriff",24.21%,-0.17%,252
An Offer You Can't Refuse,24.18%,-0.20%,182
Cultist of the Absolute,24.14%,-0.23%,145
Deflecting Swat,24.11%,-0.26%,253
Ignoble Hierarch,24.11%,-0.26%,253
"Tyvar, Jubilant Brawler",24.11%,-0.26%,253
Gemstone Caverns,24.10%,-0.27%,195
Tundra,24.08%,-0.29%,245
Volcanic Island,24.05%,-0.32%,237
The One Ring,24.04%,-0.33%,104
Dockside Extortionist,24.03%,-0.34%,258
City of Brass,24.03%,-0.34%,258
Noble Hierarch,24.03%,-0.34%,258
"Teferi, Time Raveler",24.03%,-0.34%,258
Fierce Guardianship,24.03%,-0.34%,258
Verdant Catacombs,24.03%,-0.34%,258
Rhystic Study,24.03%,-0.34%,258
Mystic Remora,24.03%,-0.34%,258
Demonic Tutor,24.03%,-0.34%,258
Sol Ring,24.03%,-0.34%,258
Chrome Mox,24.03%,-0.34%,258
Mana Confluence,24.03%,-0.34%,258
Misty Rainforest,24.03%,-0.34%,258
