Card Name,Win Percentage,Win Percentage Diff,Games Played
Rapid Hybridization,36.36%,+17.16%,11
Gemstone Mine,36.36%,+17.16%,11
Aven Mindcensor,34.78%,+15.58%,23
Ledger Shredder,33.33%,+14.13%,12
Orim's Chant,31.48%,+12.28%,54
Gitaxian Probe,27.27%,+8.07%,22
Necropotence,27.27%,+8.07%,11
Gandalf the White,27.27%,+8.07%,22
Peer into the Abyss,26.67%,+7.46%,15
Spellseeker,26.67%,+7.46%,15
Grim Tutor,26.32%,+7.11%,19
Timetwister,25.70%,+6.50%,214
Snow-Covered Swamp,25.00%,+5.80%,20
Reanimate,25.00%,+5.80%,12
Drown in the Loch,25.00%,+5.80%,24
Pongify,25.00%,+5.80%,12
City of Traitors,24.39%,+5.19%,82
Languish,23.88%,+4.68%,67
Miscast,23.81%,+4.61%,63
Phantasmal Image,23.73%,+4.53%,118
Lion's Eye Diamond,23.33%,+4.13%,30
Spell Pierce,23.13%,+3.93%,134
"Boromir, Warden of the Tower",23.08%,+3.87%,26
Trickbind,22.86%,+3.65%,35
Dress Down,22.81%,+3.60%,171
Notion Thief,22.29%,+3.08%,175
Lim-Dûl's Vault,22.15%,+2.94%,149
Stern Scolding,21.88%,+2.67%,32
Academy Ruins,21.88%,+2.67%,32
Mnemonic Betrayal,21.57%,+2.37%,306
Imposter Mech,21.51%,+2.30%,186
Intuition,21.43%,+2.23%,42
Inventors' Fair,21.35%,+2.15%,89
Grand Arbiter Augustin IV,21.05%,+1.85%,19
"Myrel, Shield of Argive",20.69%,+1.49%,29
"Urza, Lord High Artificer",20.64%,+1.44%,281
Misdirection,20.59%,+1.39%,68
Oswald Fiddlebender,20.45%,+1.25%,44
"Karn, the Great Creator",20.37%,+1.17%,108
Transmute Artifact,20.30%,+1.10%,399
Dovin's Veto,20.00%,+0.80%,85
Alchemist's Retrieval,20.00%,+0.80%,15
Praetor's Grasp,20.00%,+0.80%,55
Telepathy,20.00%,+0.80%,10
Vault of Whispers,20.00%,+0.80%,10
Seat of the Synod,20.00%,+0.80%,10
Windfall,19.74%,+0.53%,228
"Lavinia, Azorius Renegade",19.57%,+0.36%,92
Bloodstained Mire,19.45%,+0.25%,473
Archivist of Oghma,19.37%,+0.17%,382
Whir of Invention,19.30%,+0.10%,316
Gilded Drake,19.20%,-0.00%,125
Chain of Vapor,19.18%,-0.02%,318
Cavern of Souls,19.15%,-0.05%,496
An Offer You Can't Refuse,19.03%,-0.17%,494
Verdant Catacombs,19.01%,-0.20%,463
Fellwar Stone,18.99%,-0.21%,495
Phyrexian Metamorph,18.94%,-0.26%,417
Scrubland,18.92%,-0.28%,502
Misty Rainforest,18.90%,-0.31%,471
Exotic Orchard,18.86%,-0.34%,509
Wishclaw Talisman,18.84%,-0.37%,499
Scalding Tarn,18.83%,-0.37%,515
Containment Priest,18.81%,-0.39%,202
Godless Shrine,18.78%,-0.43%,490
Tundra,18.77%,-0.43%,506
Underground Sea,18.75%,-0.45%,480
Smothering Tithe,18.72%,-0.48%,486
Mox Diamond,18.71%,-0.49%,497
Forbidden Orchard,18.70%,-0.51%,230
Cyclonic Rift,18.65%,-0.55%,520
Marsh Flats,18.62%,-0.58%,521
Sevinne's Reclamation,18.59%,-0.62%,495
Mystical Tutor,18.58%,-0.62%,452
Dark Ritual,18.57%,-0.63%,517
"Lotho, Corrupt Shirriff",18.53%,-0.68%,502
Flooded Strand,18.51%,-0.69%,524
Watery Grave,18.51%,-0.69%,524
Mystic Remora,18.51%,-0.69%,524
Command Tower,18.48%,-0.73%,525
Toxic Deluge,18.47%,-0.74%,509
City of Brass,18.44%,-0.76%,526
Demonic Consultation,18.44%,-0.76%,526
Mana Confluence,18.44%,-0.77%,499
Imperial Seal,18.44%,-0.77%,499
Grim Monolith,18.42%,-0.78%,456
Talisman of Dominance,18.40%,-0.81%,511
Faerie Mastermind,18.37%,-0.84%,98
Sea of Clouds,18.36%,-0.84%,501
Damn,18.36%,-0.84%,256
Displacer Kitten,18.33%,-0.88%,502
Mindbreak Trap,18.31%,-0.89%,486
Thassa's Oracle,18.30%,-0.90%,530
Enlightened Tutor,18.30%,-0.90%,530
Mana Vault,18.30%,-0.90%,530
Hallowed Fountain,18.30%,-0.90%,530
Force of Will,18.30%,-0.90%,530
Rhystic Study,18.30%,-0.90%,530
Chrome Mox,18.30%,-0.90%,530
Drannith Magistrate,18.30%,-0.90%,530
Silence,18.30%,-0.90%,530
Lotus Petal,18.30%,-0.90%,530
Mana Crypt,18.30%,-0.90%,530
Sol Ring,18.30%,-0.90%,530
Flusterstorm,18.30%,-0.90%,530
Time Sieve,18.30%,-0.90%,530
Tainted Pact,18.30%,-0.90%,530
Vampiric Tutor,18.30%,-0.90%,530
Arcane Signet,18.30%,-0.90%,530
Jeweled Lotus,18.30%,-0.90%,530
Demonic Tutor,18.30%,-0.90%,530
Esper Sentinel,18.30%,-0.90%,530
"Otawara, Soaring City",18.30%,-0.90%,530
Swords to Plowshares,18.29%,-0.92%,525
Mental Misstep,18.29%,-0.92%,525
Opposition Agent,18.29%,-0.92%,525
Pact of Negation,18.27%,-0.93%,498
Morphic Pool,18.27%,-0.93%,520
Force of Negation,18.25%,-0.95%,515
Underground River,18.25%,-0.95%,274
Talisman of Progress,18.24%,-0.97%,510
Mox Opal,18.20%,-1.00%,522
Urza's Saga,18.18%,-1.02%,275
Dark Confidant,18.18%,-1.02%,11
Windswept Heath,18.16%,-1.04%,457
Grand Abolisher,18.10%,-1.11%,525
Muddle the Mixture,18.10%,-1.11%,420
Ancient Tomb,18.09%,-1.11%,514
Delay,18.09%,-1.11%,409
Gemstone Caverns,18.00%,-1.21%,489
Mana Drain,17.98%,-1.22%,506
Arid Mesa,17.95%,-1.25%,479
Swan Song,17.95%,-1.25%,507
Polluted Delta,17.92%,-1.28%,519
The One Ring,17.80%,-1.40%,455
Grafdigger's Cage,17.71%,-1.49%,446
Counterbalance,17.65%,-1.56%,187
Dauthi Voidwalker,17.63%,-1.57%,448
Path to Exile,17.63%,-1.57%,431
March of Otherworldly Light,17.54%,-1.66%,57
Island,17.51%,-1.69%,177
Lurrus of the Dream-Den,17.46%,-1.74%,63
"Teferi, Time Raveler",17.43%,-1.78%,482
Orcish Bowmasters,17.41%,-1.79%,448
Talisman of Hierarchy,17.36%,-1.85%,121
Drana and Linvala,17.24%,-1.96%,87
Fierce Guardianship,17.09%,-2.11%,234
Ranger-Captain of Eos,17.01%,-2.20%,441
Spire of Industry,16.92%,-2.28%,390
Brainstorm,16.67%,-2.54%,24
Snow-Covered Island,16.67%,-2.54%,12
Dimir Signet,16.67%,-2.54%,42
Cephalid Coliseum,16.67%,-2.54%,30
Arcane Denial,16.67%,-2.54%,18
March of Swirling Mist,16.49%,-2.72%,279
Raffine's Tower,16.28%,-2.92%,43
Blind Obedience,16.09%,-3.11%,348
Caves of Koilos,15.79%,-3.41%,19
Vault of Champions,15.71%,-3.49%,261
Soul Partition,15.62%,-3.58%,64
Sensei's Divining Top,15.29%,-3.92%,157
Dispel,15.22%,-3.99%,276
Touch the Spirit Realm,15.15%,-4.05%,198
Plains,15.00%,-4.20%,40
Snow-Covered Plains,15.00%,-4.20%,20
Portable Hole,14.89%,-4.31%,47
"Elesh Norn, Mother of Machines",14.63%,-4.57%,41
Ad Nauseam,14.58%,-4.62%,48
Stubborn Denial,14.55%,-4.66%,55
Cursed Totem,14.54%,-4.67%,227
Loran of the Third Path,14.29%,-4.92%,21
Hullbreaker Horror,14.04%,-5.17%,57
"Urborg, Tomb of Yawgmoth",13.64%,-5.57%,22
Silent Clearing,13.54%,-5.66%,96
Tezzeret the Seeker,13.27%,-5.93%,113
Angel's Grace,13.16%,-6.05%,38
"Narset, Parter of Veils",13.16%,-6.05%,38
Ephemerate,13.04%,-6.16%,23
"Talion, the Kindly Lord",13.04%,-6.16%,92
"Minamo, School at Water's Edge",12.78%,-6.42%,133
Spell Snare,12.50%,-6.70%,40
Rest in Peace,12.50%,-6.70%,24
Diabolic Intent,10.00%,-9.20%,10
Resculpt,10.00%,-9.20%,20
Copy Artifact,10.00%,-9.20%,10
"Eiganjo, Seat of the Empire",8.33%,-10.87%,36
Cathar Commando,8.33%,-10.87%,12
Void Rend,8.33%,-10.87%,12
Beseech the Mirror,8.33%,-10.87%,60
"Sheoldred, the Apocalypse",8.11%,-11.09%,37
Reflecting Pool,7.14%,-12.06%,14
Academy Manufactor,6.78%,-12.42%,59
Swamp,6.67%,-12.54%,45
Vanishing Verse,6.25%,-12.95%,16
Cabal Ritual,6.00%,-13.20%,50
Aura of Silence,5.88%,-13.32%,17
Counterspell,5.88%,-13.32%,17
Adarkar Wastes,4.26%,-14.95%,47
Winds of Abandon,3.12%,-16.08%,32
Animate Dead,0.00%,-19.20%,10
Mox Amber,0.00%,-19.20%,15
Borne Upon a Wind,0.00%,-19.20%,14
